Title,Genre(s),Director(s),Rating
Reign Over Me,Drama,Mike Binder,72
Babel,Drama,Alejandro González Iñárritu,72
Secret of the Wings,"Animation, Family, Fantasy, Adventure","Roberts Gannaway, Peggy Holmes",72
[REC],"Horror, Mystery","Jaume Balagueró, Paco Plaza",72
The Talented Mr. Ripley,"Thriller, Crime, Drama",Anthony Minghella,72
The Edge of Seventeen,"Comedy, Drama",Kelly Fremon Craig,72
Diaz - Don't Clean Up This Blood,"Drama, History",Daniele Vicari,72
The Animatrix,"Animation, Science Fiction","Yoshiaki Kawajiri, Shinichiro Watanabe, Peter Chung, Koji Morimoto, Takeshi Koike, Mahiro Maeda, Andrew R. Jones",72
White Christmas,"Comedy, Music, Romance",Michael Curtiz,72
Murder in the First,"Crime, Drama",Marc Rocco,72
Deadpool: No Good Deed,"Action, Comedy, Crime",David Leitch,72
Rust and Bone,"Drama, Romance",Jacques Audiard,72
Hugo,"Adventure, Drama, Family",Martin Scorsese,72
Nowhere Boy,Drama,Sam Taylor-Johnson,72
The Cat Returns,"Adventure, Fantasy, Animation, Drama, Family",Hiroyuki Morita,72
Pale Rider,Western,Clint Eastwood,72
The Karate Kid,"Action, Family, Drama",John G. Avildsen,72
The English Patient,"Drama, Romance, War",Anthony Minghella,72
A History of Violence,"Drama, Thriller, Crime",David Cronenberg,72
Don't Breathe 2,"Thriller, Horror",Rodo Sayagues,72
Tickled,Documentary,"David Farrier, Dylan Reeve",72
Five Easy Pieces,Drama,Bob Rafelson,72
Stargate: The Ark of Truth,"Action, Adventure, Science Fiction, TV Movie",Robert C. Cooper,72
The Bucket List,"Drama, Comedy",Rob Reiner,72
What Happened to Monday,"Science Fiction, Thriller, Drama, Mystery, Action",Tommy Wirkola,72
Barbie: A Fashion Fairytale,"Family, Animation",William Lau,72
Pusher II,"Crime, Drama, Thriller",Nicolas Winding Refn,72
The Professor and the Madman,"History, Drama, Mystery, Thriller",Farhad Safinia,72
Polytechnique,"Crime, Drama, History",Denis Villeneuve,72
The Big Boss,Action,Lo Wei,72
Watership Down,"Adventure, Animation, Drama",Martin Rosen,72
American Factory,Documentary,"Steven Bognar, Julia Reichert",72
The Maze Runner,"Action, Mystery, Science Fiction, Thriller",Wes Ball,72
This Is It,"Music, Documentary",Kenny Ortega,72
300,"Action, Adventure, War",Zack Snyder,72
Seven Years in Tibet,"Adventure, Drama, History",Jean-Jacques Annaud,72
The House That Jack Built,"Drama, Horror, Crime, Thriller",Lars von Trier,72
Sully,"Drama, History",Clint Eastwood,72
"The Good, the Bad, the Weird","Action, Adventure, Comedy, Western",Kim Jee-woon,72
The Glass Castle,Drama,Destin Daniel Cretton,72
The Secret Life of Walter Mitty,"Adventure, Comedy, Drama, Fantasy",Ben Stiller,72
Scooby-Doo and the Alien Invaders,"Animation, Family, Comedy, Mystery, Science Fiction",Jim Stenstrum,72
A League of Their Own,"Comedy, Drama",Penny Marshall,72
House of Sand and Fog,Drama,Vadim Perelman,72
Elizabeth,"Drama, History",Shekhar Kapur,72
Stranger Than Paradise,"Comedy, Drama",Jim Jarmusch,72
The King,"Drama, History, War",David Michôd,72
F9,"Action, Adventure, Crime",Justin Lin,72
After the Wedding,Drama,Susanne Bier,72
Sophie Scholl: The Final Days,"Drama, History",Marc Rothemund,72
Out of Africa,"History, Romance, Drama",Sydney Pollack,72
Mask,Drama,Peter Bogdanovich,72
The Darjeeling Limited,"Adventure, Drama, Comedy",Wes Anderson,72
Sleepy Hollow,"Drama, Fantasy, Thriller, Mystery, Horror",Tim Burton,72
Brother,"Crime, Drama, Thriller",Takeshi Kitano,72
A Simple Plan,"Crime, Thriller",Sam Raimi,72
Kiss Me Deadly,"Mystery, Thriller, Crime",Robert Aldrich,72
Pooh's Grand Adventure: The Search for Christopher Robin,"Animation, Family, Adventure",Karl Geurs,72
One Hundred and One Dalmatians,"Adventure, Animation, Comedy, Family","Hamilton Luske, Wolfgang Reitherman, Clyde Geronimi",72
A Hidden Life,"Drama, War, History",Terrence Malick,72
Heartbeats,"Drama, Romance",Xavier Dolan,72
Marnie,"Crime, Drama, Mystery, Romance, Thriller",Alfred Hitchcock,72
Tora! Tora! Tora!,"Drama, History, War","Kinji Fukasaku, Toshio Masuda, Richard Fleischer",72
Midsommar,"Horror, Drama, Mystery",Ari Aster,72
The Captain,"War, Drama, History",Robert Schwentke,72
Black Dynamite,"Comedy, Action",Scott Sanders,72
Red Cliff,"Adventure, Drama, History, Action, War",John Woo,72
Take the Money and Run,"Comedy, Crime",Woody Allen,72
Casualties of War,"Drama, History, War",Brian De Palma,72
The Edukators,"Drama, Comedy",Hans Weingartner,72
Max,"Adventure, Drama",Boaz Yakin,72
Broken Embraces,"Drama, Romance, Thriller",Pedro Almodóvar,72
The Patriot,"Drama, History, War, Action",Roland Emmerich,72
The Exorcism of God,Horror,Alejandro Hidalgo,72
Vicky and Her Mystery,"Adventure, Family, Drama",Denis Imbert,72
The Christmas Chronicles,"Comedy, Adventure, Family, Fantasy",Clay Kaytis,72
The Master,Drama,Paul Thomas Anderson,72
Gravity,"Science Fiction, Thriller, Drama",Alfonso Cuarón,72
In Your Eyes,"Drama, Romance, Science Fiction",Brin Hill,72
Breakfast on Pluto,"Drama, Comedy",Neil Jordan,72
Whale Rider,"Drama, Family",Niki Caro,72
Trumbo,Drama,Jay Roach,72
50/50,"Comedy, Drama",Jonathan Levine,72
The King and I,"Drama, Romance, Adventure, Music",Walter Lang,72
Stepmom,"Drama, Romance, Comedy",Chris Columbus,72
Radio,Drama,Michael Tollin,72
Secondhand Lions,"Family, Comedy",Tim McCanlies,72
The Parent Trap,"Comedy, Family",Nancy Meyers,72
Crimson Tide,"Thriller, Drama, Action",Tony Scott,72
War for the Planet of the Apes,"Drama, Science Fiction, War",Matt Reeves,72
Sapphire Blue,"Fantasy, Romance, Science Fiction, Drama, Adventure, Family, Action","Katharina Schöde, Felix Fuchssteiner",72
Murder on the Orient Express,"Drama, Thriller, Mystery",Sidney Lumet,72
Batman: Death in the Family,"Animation, Action",Brandon Vietti,72
The King's Daughter,"Fantasy, Adventure, Family",Sean McNamara,72
The Wrong Man,"Crime, Drama, Mystery",Alfred Hitchcock,72
By the Grace of God,Drama,François Ozon,72
Justice League: Gods and Monsters,"Action, Animation, Fantasy",Sam Liu,72
Big,"Fantasy, Drama, Comedy, Romance, Family",Penny Marshall,72
The Transformers: The Movie,"Animation, Science Fiction, Action, Adventure, Family",Nelson Shin,72
The Ballad of Buster Scruggs,"Western, Comedy, Drama","Joel Coen, Ethan Coen",72
Barbie: The Princess & The Popstar,"Family, Animation",Ezekiel Norton,72
La Chèvre,"Comedy, Crime, Adventure",Francis Veber,72
Following,"Drama, Thriller",Christopher Nolan,72
The Last Unicorn,"Fantasy, Animation, Family, Adventure","Jules Bass, Arthur Rankin, Jr.",72
Lars and the Real Girl,"Comedy, Drama, Romance",Craig Gillespie,72
The Driver,"Action, Crime, Thriller",Walter Hill,72
The China Syndrome,"Drama, Thriller",James Bridges,72
Doctor Sleep,"Horror, Thriller, Fantasy",Mike Flanagan,72
Fathers and Daughters,Drama,Gabriele Muccino,72
Candy,"Drama, Romance",Neil Armfield,72
Death on the Nile,Mystery,John Guillermin,72
The Outfit,Crime,Graham Moore,71
Once Upon a Deadpool,"Comedy, Action, Adventure",David Leitch,71
Son of Saul,"War, Drama, Thriller",László Nemes,71
42,Drama,Brian Helgeland,71
Keith,"Drama, Family, Romance",Todd Kessler,71
Midway,"Action, Drama, War, History, Adventure",Roland Emmerich,71
Molly's Game,"Drama, Crime",Aaron Sorkin,71
The Siege of Jadotville,"War, Drama, Thriller",Richie Smyth,71
Pom Poko,"Adventure, Animation, Fantasy",Isao Takahata,71
Straw Dogs,"Drama, Thriller",Sam Peckinpah,71
T-34,"War, Action, Drama, History",Alexey Sidorov,71
Bad Boys for Life,"Thriller, Action, Crime","Bilall Fallah, Adil El Arbi",71
The Muppet Movie,"Comedy, Adventure, Music, Family",James Frawley,71
Across the Universe,"Drama, Romance, Fantasy",Julie Taymor,71
Transformers: Rise of the Beasts,"Action, Adventure, Science Fiction",Steven Caple Jr.,72
Don't Look Up,"Science Fiction, Comedy, Drama",Adam McKay,71
Greenland,"Action, Thriller, Drama",Ric Roman Waugh,71
Gangs of Wasseypur - Part 1,"Action, Thriller, Crime",Anurag Kashyap,71
"Ciao, Professore!",Comedy,Lina Wertmüller,71
Bullitt,"Action, Crime, Drama, Thriller",Peter Yates,71
Poltergeist,Horror,Tobe Hooper,71
Downton Abbey,"Drama, Romance, History",Michael Engler,71
Matilda,"Comedy, Family, Fantasy",Danny DeVito,71
Drugstore Cowboy,"Drama, Crime",Gus Van Sant,71
After,"Romance, Drama",Jenny Gage,71
The Kid with a Bike,Drama,"Luc Dardenne, Jean-Pierre Dardenne",71
Final Fantasy VII: Advent Children,"Animation, Action, Adventure, Fantasy, Science Fiction","Tetsuya Nomura, Takeshi Nozue",71
The Return of the Living Dead,"Horror, Comedy",Dan O'Bannon,71
Friday,Comedy,F. Gary Gray,71
La Grande Bouffe,"Drama, Comedy",Marco Ferreri,71
Troy,"Adventure, History, War, Action",Wolfgang Petersen,71
The Nightingale,"Drama, Thriller",Jennifer Kent,71
Barbie and the Secret Door,"Animation, Family",Karen J. Lloyd,71
Pietà,Drama,Kim Ki-duk,71
Fahrenheit 451,"Drama, Science Fiction",François Truffaut,71
Munich,"Drama, Action, History, Thriller",Steven Spielberg,71
Belfast,Drama,Kenneth Branagh,71
Bullets Over Broadway,"Comedy, Crime",Woody Allen,71
High Heels,"Comedy, Drama, Romance",Pedro Almodóvar,71
Punch-Drunk Love,"Drama, Comedy, Thriller, Romance",Paul Thomas Anderson,71
Rang De Basanti,"Comedy, Drama, History",Rakeysh Omprakash Mehra,71
High Fidelity,"Drama, Comedy, Romance, Music",Stephen Frears,71
Queen & Slim,"Drama, Romance, Crime",Melina Matsoukas,71
Riley's First Date?,"Animation, Family",Josh Cooley,71
This Film Is Not Yet Rated,Documentary,Kirby Dick,71
The Haunting,Horror,Robert Wise,71
Jason and the Argonauts,"Adventure, Family, Fantasy",Don Chaffey,71
Mamma Mia! Here We Go Again,"Comedy, Romance",Ol Parker,71
Capitalism: A Love Story,Documentary,Michael Moore,71
The Visitor,"Crime, Drama, Music",Tom McCarthy,71
Magnum Force,"Drama, Crime, Action",Ted Post,71
The Goddess of Fortune,Drama,Ferzan Özpetek,71
Salyut-7,"Action, Drama, Adventure",Klim Shipenko,71
Little White Lies,"Comedy, Drama",Guillaume Canet,71
I Confess,"Crime, Drama, Thriller",Alfred Hitchcock,71
Medieval,"Action, Drama, History",Petr Jákl,71
Uncut Gems,"Drama, Thriller, Crime","Josh Safdie, Benny Safdie",71
The Angry Birds Movie 2,"Animation, Comedy, Adventure, Family",Thurop Van Orman,71
The Producers,Comedy,Mel Brooks,71
The French Dispatch,"Drama, Comedy",Wes Anderson,71
Scoob!,"Animation, Comedy, Family, Mystery",Tony Cervone,71
Tangled Ever After,"Animation, Comedy, Action, Family","Byron Howard, Nathan Greno",71
The Way,"Adventure, Comedy, Drama",Emilio Estevez,71
Fun Is Beautiful,Comedy,Carlo Verdone,71
The Upside,"Comedy, Drama",Neil Burger,71
Searching for Bobby Fischer,Drama,Steven Zaillian,71
Where the Heart Is,"Comedy, Drama, Romance",Matt Williams,71
Hustle & Flow,"Crime, Drama, Music",Craig Brewer,71
Unbreakable,"Thriller, Drama, Mystery",M. Night Shyamalan,71
The Invisible Man,"Thriller, Science Fiction, Horror",Leigh Whannell,71
Matthias & Maxime,Drama,Xavier Dolan,71
Anomalisa,"Animation, Drama, Romance, Comedy","Charlie Kaufman, Duke Johnson",71
The Last Castle,"Action, Drama, Thriller",Rod Lurie,71
Two Brothers,"Adventure, Drama, Family",Jean-Jacques Annaud,71
Suicide Squad: Hell to Pay,"Science Fiction, Action, Animation",Sam Liu,71
Thief,"Crime, Thriller, Action",Michael Mann,71
The Taming of the Scoundrel,Comedy,"Pipolo, Castellano",71
Quills,Drama,Philip Kaufman,71
Frenzy,"Crime, Thriller, Horror",Alfred Hitchcock,71
The Forgotten Battle,"War, History, Drama",Matthijs van Heijningen Jr.,71
Sherlock Holmes: A Game of Shadows,"Adventure, Action, Crime, Mystery",Guy Ritchie,71
Gia,"Romance, Drama",Michael Cristofer,71
Dead Ringers,"Thriller, Horror",David Cronenberg,71
Trash,"Adventure, Crime, Drama, Thriller",Stephen Daldry,71
OSS 117: Lost in Rio,"Crime, Action, Comedy",Michel Hazanavicius,71
The Fox and the Hound,"Adventure, Animation, Drama, Family","Ted Berman, Richard Rich, Art Stevens",71
Death and the Maiden,"Drama, Thriller, Mystery",Roman Polanski,71
United 93,"Drama, History, Crime, Thriller, Action",Paul Greengrass,71
The Way Way Back,"Comedy, Drama","Nat Faxon, Jim Rash",71
Whatever Works,"Comedy, Romance",Woody Allen,71
Dead Man's Shoes,"Drama, Thriller, Crime",Shane Meadows,71
New Police Story,"Action, Thriller, Crime, Drama",Benny Chan,71
Quo Vadis,"Drama, History, Romance","Mervyn LeRoy, Anthony Mann",71
Point Break,"Action, Thriller, Crime",Kathryn Bigelow,71
The Lion King,"Adventure, Drama, Family, Animation",Jon Favreau,71
Brimstone,"Western, Mystery, Thriller, Drama",Martin Koolhoven,71
Silence,"Drama, History",Martin Scorsese,71
Barbie and the Magic of Pegasus,"Animation, Family, Romance",Greg Richardson,71
"I'm a Cyborg, but That's OK","Drama, Comedy, Romance",Park Chan-wook,71
We Were Soldiers,"Action, History, War",Randall Wallace,71
The Guardian,"Action, Adventure, Drama",Andrew Davis,71
Contempt,Drama,Jean-Luc Godard,71
The First King,"History, Drama",Matteo Rovere,71
Mary and The Witch's Flower,"Fantasy, Adventure, Animation, Family",Hiromasa Yonebayashi,71
8 Mile,"Drama, Music",Curtis Hanson,71
Remember Sunday,"TV Movie, Romance, Drama",Jeff Bleckner,71
Silver Linings Playbook,"Drama, Comedy, Romance",David O. Russell,71
Zabriskie Point,"Drama, Romance",Michelangelo Antonioni,71
Angel Heart,"Horror, Mystery",Alan Parker,71
The School for Good and Evil,Fantasy,Paul Feig,71
Strange Magic,"Music, Animation, Family, Fantasy",Gary Rydstrom,71
The Life Aquatic with Steve Zissou,"Adventure, Comedy, Drama",Wes Anderson,71
Bullhead,"Crime, Drama",Michaël R. Roskam,71
if....,Drama,Lindsay Anderson,71
Yellow Submarine,"Music, Animation, Adventure, Comedy, Fantasy",George Dunning,71
Lolita,Drama,Adrian Lyne,71
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",Andrew Adamson,71
The Proposal,"Comedy, Romance, Drama",Anne Fletcher,71
Who Am I?,"Adventure, Action, Comedy, Thriller","Jackie Chan, Benny Chan",71
Master and Commander: The Far Side of the World,"Adventure, Drama, War",Peter Weir,71
The Tale,"Drama, Mystery",Jennifer Fox,71
Calvary,Drama,John Michael McDonagh,71
The Lucky One,"Drama, Romance",Scott Hicks,71
Kick-Ass,"Action, Crime",Matthew Vaughn,71
Superman,"Science Fiction, Action, Adventure",Richard Donner,71
Chicago,"Comedy, Crime, Drama",Rob Marshall,71
Pi,"Mystery, Drama, Thriller",Darren Aronofsky,71
Chef,Comedy,Jon Favreau,71
SLC Punk,"Comedy, Drama, Crime, Music",James Merendino,71
Aladdin,"Adventure, Fantasy, Romance, Family",Guy Ritchie,71
The Disaster Artist,"Comedy, Drama",James Franco,71
The Land Before Time,"Family, Animation, Adventure",Don Bluth,71
Field of Dreams,"Drama, Fantasy",Phil Alden Robinson,71
Heidi,"Adventure, Family",Alain Gsponer,71
In a Better World,Drama,Susanne Bier,71
The Visitors,"Fantasy, Comedy",Jean-Marie Poiré,71
The Spanish Apartment,"Drama, Comedy, Romance",Cédric Klapisch,71
The Poseidon Adventure,"Action, Adventure, Thriller",Ronald Neame,71
Snow White and the Seven Dwarfs,"Fantasy, Animation, Family",David Hand,71
The Willoughbys,"Animation, Comedy, Family",Kris Pearn,71
The Realm,"Thriller, Mystery, Drama",Rodrigo Sorogoyen,71
Dogtooth,Drama,Yorgos Lanthimos,71
Speed,"Action, Adventure, Crime",Jan de Bont,71
After We Fell,"Romance, Drama",Castille Landon,71
Vacation Friends,Comedy,Clay Tarver,71
Space Sweepers,"Drama, Fantasy, Science Fiction",Jo Sung-hee,71
Maze Runner: The Death Cure,"Science Fiction, Action, Adventure, Thriller",Wes Ball,71
Sing,"Animation, Comedy, Family, Music",Garth Jennings,71
The Dark Crystal,"Adventure, Family, Fantasy, Animation","Jim Henson, Frank Oz",71
The Half of It,"Comedy, Romance, Drama",Alice Wu,71
Battlestar Galactica: Razor,"Science Fiction, Action, Drama, Thriller, TV Movie",Félix Enríquez Alcalá,71
Barefoot in the Park,"Comedy, Romance",Gene Saks,71
To Live and Die in L.A.,"Crime, Thriller, Action",William Friedkin,71
John Q,"Drama, Thriller, Crime",Nick Cassavetes,71
22 July,"History, Drama, Thriller, Crime",Paul Greengrass,71
Suspicion,"Mystery, Romance, Thriller",Alfred Hitchcock,71
The Place,"Drama, Thriller, Mystery",Paolo Genovese,71
The Connection,"Action, Crime, Thriller",Cédric Jimenez,71
I'm Not Scared,"Mystery, Drama, Thriller, Crime",Gabriele Salvatores,71
Remember Me,"Drama, Romance",Allen Coulter,71
7 Prisoners,Drama,Alexandre Moratto,71
Love & Mercy,"Drama, Music, History",Bill Pohlad,71
Birdy,Drama,Alan Parker,71
National Lampoon's Vacation,"Comedy, Adventure",Harold Ramis,71
The Northman,"Action, Adventure, Fantasy",Robert Eggers,71
A Ghost Story,"Drama, Fantasy",David Lowery,71
Lady and the Tramp,"Family, Animation, Romance","Clyde Geronimi, Wilfred Jackson, Hamilton Luske",71
Before the Devil Knows You're Dead,"Crime, Drama, Thriller",Sidney Lumet,71
Paterson,"Drama, Romance, Comedy",Jim Jarmusch,71
The End of the Tour,Drama,James Ponsoldt,71
The Keeper of Lost Causes,"Thriller, Mystery, Crime",Mikkel Nørgaard,71
Ruby Sparks,"Comedy, Romance, Fantasy, Drama","Valerie Faris, Jonathan Dayton",71
Dirty Rotten Scoundrels,"Crime, Comedy",Frank Oz,71
The Protector,"Action, Crime, Drama, Thriller",Prachya Pinkaew,71
The Founder,"Drama, History",John Lee Hancock,71
Dope,"Crime, Drama, Comedy",Rick Famuyiwa,71
Boy A,"Crime, Drama",John Crowley,71
Terms of Endearment,"Drama, Comedy",James L. Brooks,71
Buffalo '66,"Drama, Romance, Comedy",Vincent Gallo,71
A Tale of Two Sisters,"Drama, Horror, Mystery",Kim Jee-woon,71
The Nice Guys,"Comedy, Crime, Action",Shane Black,71
Kill Your Darlings,"Drama, Romance, Thriller",John Krokidas,71
Audition,"Horror, Drama",Takashi Miike,71
Mean Streets,"Drama, Crime",Martin Scorsese,71
I Hate Summer,Comedy,Massimo Venier,71
Climax,"Horror, Music",Gaspar Noé,71
Snowden,"Drama, History, Crime, Thriller",Oliver Stone,71
Pinocchio,"Animation, Family","Wilfred Jackson, Jack Kinney, Norman Ferguson, T. Hee, William Roberts, Ben Sharpsteen, Hamilton Luske",71
La Femme Nikita,"Action, Thriller",Luc Besson,71
The Getaway,"Action, Crime, Thriller",Sam Peckinpah,71
Love Actually,"Comedy, Romance, Drama",Richard Curtis,71
Anthropoid,"History, Thriller, War",Sean Ellis,71
A Hard Day,"Action, Crime, Thriller",Kim Seong-hun,71
Show Me Love,"Comedy, Romance, Drama",Lukas Moodysson,71
The Doors,"Music, Drama, History",Oliver Stone,71
The Arrival of a Train at La Ciotat,Documentary,"Louis Lumière, Auguste Lumière",71
Starred Up,Drama,David Mackenzie,71
This Boy's Life,Drama,Michael Caton-Jones,71
Theorem,"Mystery, Drama",Pier Paolo Pasolini,71
Last Holiday,"Adventure, Comedy, Drama",Wayne Wang,71
Metropolis,"Animation, Science Fiction",Rintaro,71
Honey Boy,Drama,Alma Har'el,71
Descendants,"Family, Music, Adventure, Comedy, Fantasy, TV Movie",Kenny Ortega,71
Garden State,"Comedy, Drama, Romance",Zach Braff,71
...And Justice for All,"Crime, Drama, Thriller",Norman Jewison,71
